#datatype measurement,dateTime:RFC3339,float,float,double
speed,msgTime,latitude,longitude,gpsSpeed
speed,2021-08-18T16:58:52Z,41.19761,29.0713,12
speed,2021-08-18T16:58:49Z,41.19748,29.07115,11.7
speed,2021-08-18T16:58:44Z,41.19729,29.0709,10.8
speed,2021-08-18T16:58:40Z,41.19715,29.07071,11.5
speed,2021-08-18T16:58:36Z,41.19695,29.07071,10.8
speed,2021-08-18T16:58:32Z,41.19675,29.07075,10.1
speed,2021-08-18T16:58:28Z,41.19655,29.07077,9.7
speed,2021-08-18T16:58:24Z,41.19634,29.07074,8
speed,2021-08-18T16:58:22Z,41.1963,29.07073,6.8
speed,2021-08-18T16:58:19Z,41.19623,29.0706,6.8
speed,2021-08-18T16:58:14Z,41.19625,29.07042,7
speed,2021-08-18T16:58:10Z,41.19629,29.07024,6.9
speed,2021-08-18T16:58:06Z,41.19634,29.07008,6.8
speed,2021-08-18T16:58:02Z,41.19642,29.06994,7.8
speed,2021-08-18T16:57:58Z,41.1965,29.06979,7.6
speed,2021-08-18T16:57:54Z,41.1966,29.06963,7.4
speed,2021-08-18T16:57:51Z,41.19667,29.06952,7.9
speed,2021-08-18T16:57:49Z,41.19672,29.06945,8.3
speed,2021-08-18T16:57:45Z,41.19683,29.06931,6.2
speed,2021-08-18T16:57:41Z,41.19691,29.0692,5.9
speed,2021-08-18T16:57:37Z,41.197,29.06911,4.2
speed,2021-08-18T16:57:33Z,41.19701,29.0691,1.5
speed,2021-08-18T16:57:29Z,41.19707,29.06905,6.3
speed,2021-08-18T16:57:24Z,41.19724,29.06888,9.9
speed,2021-08-18T16:57:21Z,41.19736,29.06877,9.8
speed,2021-08-18T16:57:20Z,41.19739,29.06874,9.6
speed,2021-08-18T16:57:16Z,41.19752,29.06861,8.4
speed,2021-08-18T16:57:12Z,41.19762,29.0685,3.7
speed,2021-08-18T16:57:08Z,41.19769,29.06843,4.5
speed,2021-08-18T16:57:04Z,41.19772,29.06844,1.9
speed,2021-08-18T16:57:00Z,41.19773,29.06847,3.5
speed,2021-08-18T16:56:55Z,41.19769,29.06854,7.5
speed,2021-08-18T16:56:51Z,41.19756,29.06864,7
speed,2021-08-18T16:56:50Z,41.19753,29.06867,7.3
speed,2021-08-18T16:56:47Z,41.19746,29.06874,4.2
speed,2021-08-18T16:56:43Z,41.19743,29.06876,0
speed,2021-08-18T16:56:39Z,41.19743,29.06876,0
speed,2021-08-18T16:56:35Z,41.19743,29.06876,0
speed,2021-08-18T16:56:30Z,41.19743,29.06876,0
speed,2021-08-18T16:56:26Z,41.19743,29.06876,0
